,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
0, Baumanskaia ,80000,13,walk,agency,50,127,5,8,2,50,30,6
1, Kommunarka ,27000,3,transport,owner,0,23,12,15,1,38,17,12
2, Michurinskii prospekt ,150000,5,walk,realtor,0,56,17,24,4,130,70,15
3, Khovrino ,47000,10,walk,realtor,50,748,6,17,2,55,32,9
4, Planernaia ,39000,10,walk,realtor,50,835,8,9,1,33,18,7
5, Planernaia ,35000,15,walk,realtor,50,736,6,9,1,34,17,6
6, Riazanskii prospekt ,40000,5,walk,realtor,50,458,9,12,1,35,20,10
7, VDNKh ,40000,5,transport,realtor,50,363,10,16,1,35,19,10
8, Medvedkovo ,32000,15,walk,realtor,50,481,1,12,1,38,19,7
9, Medvedkovo ,45000,10,walk,realtor,50,271,3,9,2,45,30,6
10, Medvedkovo ,35000,10,walk,realtor,50,238,9,14,1,39,18,10
11, Khovrino ,38000,7,walk,realtor,50,243,6,9,1,33,17,6
12, Perovo ,29000,15,walk,realtor,40,5304,2,5,1,31,17,7
13, Babushkinskaia ,60000,16,walk,agency,70,143,5,5,3,60,38,6
14, Taganskaia ,60000,10,walk,realtor,50,956,3,5,3,75,48,12
15, Domodedovskaia ,60000,5,walk,realtor,40,859,2,9,3,67,46,12
16, Novye Cheremushki ,24000,5,walk,realtor,40,137,2,17,1,39,21,11
17, Preobrazhenskaia ploshchad ,22000,5,walk,realtor,50,75,3,9,1,48,22,11
18, Liublino ,26000,7,walk,realtor,50,69,2,5,1,46,21,12
19, Ulitca 1905 goda ,26000,5,walk,realtor,50,49,6,17,1,48,21,13
20, Novogireevo ,35000,10,transport,realtor,50,42,9,16,1,37,20,10
21, Prazhskaia ,28000,20,walk,realtor,50,64,6,9,1,34,17,8
22, Nekrasovka ,55000,10,walk,realtor,40,1876,12,17,3,80,45,13
23, Pionerskaia ,80000,5,walk,realtor,50,56,7,17,2,62,36,10
24, Skhodnenskaia ,37000,15,walk,realtor,50,93,8,12,1,40,21,9
25, Petrovskii park ,30000,7,transport,realtor,50,150,8,9,1,35,16,9
26, Altufevo ,165000,20,walk,realtor,0,81,2,3,5,270,150,20
27, Novye Cheremushki ,70000,5,walk,agency,50,651,9,17,2,60,32,12
28, Bulvar Rokossovskogo ,80000,20,walk,agency,50,971,9,16,2,47,21,8
29, Sukharevskaia ,185000,5,walk,agency,0,72,7,9,3,79,50,12
30, Sukharevskaia ,185000,5,walk,agency,0,80,8,9,3,76,49,12
31, Nekrasovka ,40000,5,walk,realtor,40,115,10,17,1,41,18,11
32, Izmailovskaia ,45000,15,walk,owner,0,1471,5,5,2,50,30,7
33, Krasnopresnenskaia ,100000,3,walk,realtor,0,2180,5,5,3,74,30,30
34, Vykhino ,43000,10,walk,agency,50,404,5,12,1,37,13,9
35, Vykhino ,45000,15,walk,agency,50,1624,2,12,1,37,19,8
36, Molodezhnaia ,50000,10,walk,agency,50,410,1,5,1,35,17,10
37, Tushinskaia ,65000,5,walk,realtor,50,600,2,17,2,70,36,12
38, Vodnyi stadion ,60000,10,walk,realtor,50,721,8,15,2,64,40,15
39, Planernaia ,45000,10,walk,realtor,50,564,7,12,1,38,19,8
40, VDNKh ,50000,10,walk,realtor,50,428,16,16,1,41,18,8
41, Alekseevskaia ,50000,3,walk,realtor,50,534,5,12,1,33,19,5
42, Sviblovo ,40000,10,walk,realtor,50,580,14,14,2,38,24,6
43, Sviblovo ,38000,15,walk,realtor,50,481,3,5,1,64,64,64
44, Rimskaia ,55999,7,walk,realtor,99,390,6,17,1,40,21,10
45, Piatnitckoe shosse ,30000,23,transport,realtor,60,157,5,5,2,44,34,6
46, Okskaia ,59999,7,walk,realtor,69,132,3,33,1,26,17,5
47, Salarevo ,65000,5,walk,owner,0,3,12,15,3,64,64,64
48, Bulvar Rokossovskogo ,62000,5,walk,owner,0,227,3,9,1,33,19,6
49, Piatnitckoe shosse ,50000,25,transport,realtor,50,164,9,17,3,75,45,10
50, Sviblovo ,35000,6,transport,realtor,50,17,16,16,1,40,20,10
51, Kaluzhskaia ,35000,15,walk,realtor,50,11,6,22,1,34,16,9
52, Botanicheskii sad ,48000,10,walk,owner,0,26,7,16,2,57,33,10
53,No data,40000,0,walk,realtor,0,148,10,13,3,100,55,13
54, Babushkinskaia ,55000,12,walk,realtor,0,19,11,11,1,32,26,5
55, Kantemirovskaia ,43000,15,walk,owner,0,431,5,5,2,45,30,6
56, Bibirevo ,55000,6,transport,realtor,50,26,6,12,2,52,30,9
57, Iasenevo ,35000,12,walk,owner,0,72,4,9,1,33,19,6
58, Oktiabrskoe pole ,120000,7,walk,realtor,100,35,10,14,3,115,70,20
59, Smolenskaia ,120000,7,walk,realtor,0,26,2,12,2,53,33,8
60, Mezhdunarodnaia ,260000,0,walk,realtor,50,143,74,95,1,51,31,20
61, Taganskaia ,60000,15,walk,realtor,50,330,3,5,2,78,30,18
62, Skhodnenskaia ,73000,0,walk,owner,0,236,3,5,2,73,38,13
63, Piatnitckoe shosse ,50000,25,transport,realtor,50,288,9,17,3,87,61,6
64, Kolomenskaia ,45000,15,walk,agency,50,52,5,5,2,44,29,6
65, Ramenki ,50000,5,transport,agency,50,30,10,14,2,45,30,8
66, Dobryninskaia ,75000,3,walk,agency,50,40,4,7,1,40,20,6
67, Vykhino ,45000,7,walk,agency,50,1170,12,17,1,38,16,9
68, Shabolovskaia ,200000,8,walk,realtor,0,38,2,21,3,125,80,10
69, Liublino ,28000,5,walk,realtor,0,158,3,5,2,55,32,12
70, Planernaia ,55000,20,walk,realtor,40,54,10,12,2,46,31,7
71, Akademicheskaia ,70000,14,walk,realtor,30,86,5,5,2,47,32,7
72, Vystavochnaia ,185000,4,walk,owner,0,95,4,11,1,53,14,24
73, Kuntcevskaia ,45000,15,walk,owner,0,115,6,9,1,33,19,7
74, Shelepikha ,105000,20,walk,owner,0,60,5,5,3,75,50,8
75, Altufevo ,37000,10,walk,realtor,30,46,7,12,1,38,21,8
76, Shchelkovskaia ,47000,12,walk,realtor,50,61,4,14,1,38,21,10
77, Okhotnyi riad ,200000,8,walk,realtor,0,61,10,13,2,70,57,12
78, Skhodnenskaia ,26000,14,walk,realtor,50,120,4,9,1,37,10,7
79, Aviamotornaia ,65000,2,walk,realtor,30,93,3,5,3,75,50,8
80, Rasskazovka ,45000,15,walk,realtor,31,74,22,22,1,40,23,9
81, Altufevo ,50000,15,transport,owner,0,89,17,17,2,64,64,64
82, Teplyi Stan ,78000,15,walk,owner,0,93,8,16,1,64,64,64
83, Kommunarka ,35000,0,walk,agency,100,8,5,12,1,35,17,10
84, Lesoparkovaia ,28000,0,walk,agency,100,4,2,12,1,39,20,9
85, Sviblovo ,45000,0,walk,agency,50,14,11,24,1,44,20,11
86, Prazhskaia ,55000,0,walk,agency,100,8,7,9,2,45,30,7
87, Preobrazhenskaia ploshchad ,38000,0,walk,agency,100,5,2,9,1,36,20,7
88, Babushkinskaia ,50000,0,walk,agency,100,7,2,9,2,45,29,8
89, VDNKh ,45000,0,walk,agency,100,15,12,19,1,38,20,10
90, Skhodnenskaia ,40000,0,walk,agency,100,23,3,5,2,41,26,6
91, Strogino ,60000,0,walk,agency,100,18,19,20,1,55,20,16
92,No data,60000,0,walk,agency,80,28,13,14,2,55,33,7
93, Strogino ,50000,0,walk,agency,80,27,19,24,2,45,23,6
94, Tekstilshchiki ,43000,0,walk,agency,50,28,1,5,2,45,30,8
95, Bibirevo ,50000,0,walk,agency,100,15,4,12,2,53,39,10
96, Akademicheskaia ,47000,0,walk,agency,50,10,1,5,1,33,20,6
97, Medvedkovo ,35000,0,walk,agency,100,44,8,9,2,45,29,6
98, Ulitca Akademika Iangelia ,55000,0,walk,agency,100,33,2,9,3,66,40,6
99, Kommunarka ,38000,0,walk,agency,100,38,2,9,2,55,34,11
100, Pervomaiskaia ,40000,0,walk,agency,100,33,10,16,2,52,33,9
101, Alma-Atinskaia ,33000,0,walk,agency,100,25,10,14,1,40,20,8
102, Nekrasovka ,65000,0,walk,agency,100,35,6,19,3,62,44,8
103,No data,73000,0,walk,agency,40,32,8,8,2,3,51,9
104, Timiriazevskaia ,38000,0,walk,agency,100,26,5,9,1,33,19,6
105, Shosse Entuziastov ,40000,0,walk,agency,100,14,11,12,1,36,20,10
106,No data,37000,0,walk,agency,100,18,1,9,1,35,19,6
107, Strogino ,60000,0,walk,agency,50,46,13,26,3,80,45,10
108, Liublino ,130000,0,walk,agency,60,79,7,19,3,82,54,13
109, Novokuznetckaia ,200000,0,walk,agency,50,79,2,8,2,52,26,9
110, Vodnyi stadion ,100000,0,walk,agency,20,81,8,26,2,70,33,30
111, Lukhmanovskaia ,50000,0,walk,agency,0,13,13,24,1,48,20,10
112, Preobrazhenskaia ploshchad ,50000,0,walk,agency,100,167,4,9,2,38,27,6
113,No data,75000,0,walk,agency,100,24,17,26,2,75,37,17
114, Seligerskaia ,50000,0,walk,agency,100,13,27,33,2,42,32,8
115, Bratislavskaia ,40000,0,walk,agency,100,17,7,12,1,39,19,9
116, Sviblovo ,35000,0,walk,agency,100,29,2,14,1,34,17,6
117, Nakhimovskii prospekt ,70000,0,walk,agency,80,38,2,11,2,80,34,16
118, Vykhino ,35000,0,walk,agency,100,570,6,9,3,68,49,9
119, Okhotnyi riad ,140000,0,walk,agency,60,23,4,8,2,58,32,8
120,No data,60000,0,walk,agency,100,200,4,5,3,53,41,6
121, Planernaia ,40000,0,walk,agency,80,76,3,5,2,46,35,6
122,No data,125000,0,walk,agency,30,21,11,16,2,57,38,6
123, Baumanskaia ,150000,0,walk,agency,20,43,7,12,3,95,65,10
124, Dinamo ,45000,0,walk,agency,100,5,2,5,1,32,18,5
125, Bratislavskaia ,40000,0,walk,agency,100,77,13,17,2,70,38,12
126,No data,33000,0,walk,agency,100,12,3,5,1,30,19,5
127, Filatov Lug ,15000,0,walk,agency,100,44,7,7,1,45,20,10
128, Shelepikha ,80000,0,walk,agency,50,77,6,46,2,80,40,10
129, Pervomaiskaia ,30000,0,walk,agency,100,6,5,9,1,36,16,7
130, Paveletckaia ,38000,0,walk,agency,100,22,1,5,1,34,17,8
